ID,As a...,I want to...,"VujaDe Platform - user stories ""client""",Column 1,MVP Status,Time (Hours),Notes,SIZE,MILESTONE,Column 2
C-1,New Client,Register with my email and phone number,Secure my account and start the process.,client,Yes,3,Basic form and API registration logic.,S,Foundation & Intake Live,"11 OCT ,Foundation & Intake Live : Client registration, OTP, and all five service request forms are functional. Managers can triage and assign new requests."
C-2,New Client,Verify my identity via OTP (Email),Gain platform access.,client,Yes,3,Email service integration and verification state.,S,Foundation & Intake Live,"18 OCT ,Execution Core Complete : Internal Tasks (CRUD), shared Timeline, Commenting system, and PM visibility logic are deployed and tested."
C-3,Client,View the Client Dashboard,Get a centralized overview of my projects and actions.,client,Yes,8,Requires querying multiple data sources for summary view.,L,Execution Core Complete,"25OCT ,Quotation Gate Ready : The Unified Metrics Tool is, allowing  to generate quotes , And move a request into the final ""Approved Project"" status."
C-4,Client,View all my current and historical request/project statuses,Know the current state of my relationship with VujaDe.,client,Yes,2,Simple read/display logic.,S,Execution Core Complete,
C-5,Client,View the Project Scope/ Timeline/ Milestones/ and Completion Percentage,Track agreed-upon deliverables and progress.,client,Yes,8,Read-only views of core project data.,L,Execution Core Complete,
C-6,Client,See the next scheduled meeting details,Prepare for and attend important discussions.,client,Yes,1,Simple read from meeting status.,S,Execution Core Complete,
C-7,Active Client,Submit a formal scope change request,Initiate a documented process for altering the plan.,client,Yes,1,Form submission and basic notification logic.,S,Execution Core Complete,
C-8,Active Client,Add a comment to a project or milestone thread,Ask questions or provide feedback to the team.,client,Yes,3,Comment box and persistence logic.,S,Execution Core Complete,
C-9,Client,Rate the experience and provide feedback when a project closes,Help improve service quality and the platform.,client,Yes,1,Simple feedback form submission.,S,Quotation Gate Ready,
C-10,Prospective Client (Consultation),Select a category and provide a brief idea description,Get directed to the correct expert quickly.,client,Yes,1,Simple request form for Consultation intake.,S,Foundation & Intake Live,
C-11,Client,View current and pending quotes/agreements,Know what legal documents need my attention.,client,Yes,1,Simple status list.,S,Execution Core Complete,
C-12,Client (Research/IP/Copyright),View the NDA/SLA documents,Review the terms and conditions.,client,Yes,2,Simple document viewer integration.,S,Execution Core Complete,
C-13,Prospective Client (Idea),"Submit an initial ""Idea"" request",Kickoff the most complex service funnel.,client,Yes,1,Simple request form for Idea intake.,S,Foundation & Intake Live,
C-14,Client (Idea Track),Participate in a comment-based negotiation,Discuss and finalize scope and pricing with the Admin.,client,Yes,1,Complex multi-user/ multi-state chat UI.,S,Execution Core Complete,
C-15,Client (Idea Track),Accept or Reject a Formal Quote/Agreement,Digitally sign or initiate re-negotiation.,client,Yes,2,E-signature integration and contract state management.,S,Quotation Gate Ready,
C-16,Client (Idea Track),Upload a payment confirmation file,Prove that I have paid the required fees.,client,Yes,1,Secure file handling linked to financial state.,S,Quotation Gate Ready,
C-17,Client (Idea Track),Recharge my token wallet balance,Fund my use of the AI assessment tools.,client,No,0,Payment gateway integration and core Wallet logic.,S,Quotation Gate Ready,
C-18,Client (Idea Track),Access the AI Assessment module (Visualisation/Text AI),Enhance and refine my initial idea using tokens.,client,No,0,External AI API integration and token consumption logic.,S,Quotation Gate Ready,
C-19,Client (Research/IP/Copyright),Digitally Sign the required NDA and SLA documents,Formally agree to the terms required for my project type.,client,Yes,2,E-signature integration and legal logging.,S,Foundation & Intake Live,
C-20,Client (Research/IP/Copyright),Book the preliminary meeting time directly,Schedule the kickoff call efficiently using the team's calendar.,client,Yes,3,Google Calendar API integration/ time slot logic.,S,Foundation & Intake Live,
T-1,Team Member,View all my assigned tasks across all active projects,Prioritize my daily workload efficiently.,Employee/ PM/ Manager,Yes,3,,S,Execution Core Complete,
T-2,Team Member,Create/ update/ and close granular internal Tasks,Track execution progress separate from the client timeline.,Employee/ PM/ Manager,Yes,5,,M,Execution Core Complete,
T-3,Team Member,Comment on any milestone or task,Communicate context and updates to other team members.,Employee/ PM/ Manager,Yes,1,,S,Execution Core Complete,
T-4,Manager,Review all new service requests in a centralized list,Quickly triage and assign the request to the correct internal contact.,Manager,Yes,2,,S,Foundation & Intake Live,
T-5,Employee,Send a Meeting Invitation to the client (Model 3 flow),Initiate the consultation process efficiently.,Employee,Yes,2,,S,Foundation & Intake Live,
T-6,Manager,Approve or Reject a new Service Request,Formally transition a fully scoped request into an active project.,Manager,Yes,1,,S,Quotation Gate Ready,
T-7,Manager,Assign the core team (Employees/ PMs) to an approved project,Delegate responsibilities and define the internal project structure.,Manager,Yes,1,,S,Quotation Gate Ready,
T-8,Manager,Approve or reject a client-submitted Scope Change Request,Control project creep.,Manager,Yes,1,,S,Execution Core Complete,
T-9,Manager,Log a new project-related purchase or expense,Ensure transparent financial tracking internally.,Manager,Yes,1,,S,Execution Core Complete,
T-15,Project Manager (Assigned),See all Tasks/ Expenses/ and the assigned Team members for my project,Have full internal oversight necessary to lead the project to completion.,PM (Assigned)/ Manager,Yes,3,,S,Execution Core Complete,
T-16,Project Manager (Assigned),Add/Remove Employee Tasks (on their project),Manage my project's execution without needing Manager approval.,PM (Assigned)/ Manager,Yes,1,,S,Execution Core Complete,
T-17,Employee/Manager,Access the Unified Metrics & Quotation Tool,Generate accurate/ standardized pricing and time estimates.,Employee/ PM/ Manager,Yes,1,,S,Quotation Gate Ready,
T-18,Manager,View the status of client NDA and SLA signings,Ensure all legal requirements are met before project commencement.,Manager,Yes,2,,S,Foundation & Intake Live,
T-19,Manager,Verify and approve the client's payment confirmation file,Ensure financial prerequisites are met before work officially starts.,Manager,Yes,1,,S,Quotation Gate Ready,
T-20,Employee,Review and confirm a client's calendar booking (Models 2/ 4/ 5),Finalize the meeting time after the client selects a slot.,Employee,Yes,1,,S,Foundation & Intake Live,
T-21,Employee,Receive a filtered/triaged request (Model 3),Immediately focus on requests matching my expertise and load.,Employee,Yes,1,,S,Foundation & Intake Live,
T-10,Manager,View the negotiation history thread (comments) for an Idea track request,Have full context before making a final pricing decision.,Manager,Yes,2,,S,Execution Core Complete,
T-11,Manager,Issue a formal Quote or Agreement document to the client,Convert negotiated terms into a binding/ traceable contract.,Manager,Yes,3,,S,Quotation Gate Ready,
T-14,Manager,Manage the client's token wallet (recharge/view balance/refund),Control the financial mechanism for the AI assessment tools.,Manager,No,0,,S,Quotation Gate Ready,
,,,,,,76,,,,
